Access status,Accession,Agency,Alternative no.,Box/Item,Date,Former archives ref,Item ID,Part,Record group,Record no.,Record type,Sep,Series,Title
OPEN ACCESS,,ACGO,,542 / [189],1887 - 1887,IA1,R24494029,,IA1,1887/3596,Text,,8333,"From: E [Edmund] Sager, Secretary to Board of Health, Sydney Date: 20 August 1887 Subject: Reporting a modified case of Small Pox in a Chinese passenger ship [File cover only] (R24494029)"
OPEN ACCESS,,ACGO,,545 / [158],1887 - 1887,IA1,R24494636,,IA1,1887/4771,Text,,8333,"From: James Plunket, Christchurch Date: 24 November 1887 Subject: For permission for Mrs Exall to dispose of gold embroiding and Chinese cabinet-ware, by art union (R24494636)"
OPEN ACCESS,,ACGO,,546 / [20],1887 - 1887,IA1,R24494715,,IA1,1887/4991,Text,,8333,"From: Clerk of the House of Representatives, Wellington Date: 6 December 1887 Subject: For return (1) Number of Chinese that arrived in colony from 31 March to 30 November 1887 who paid Poll Tax. (2) Number arrived as above and who claimed exemption etc (R24494715)"
OPEN ACCESS,,ACGO,,578 / [1],1889 - 1890,IA1,R24849355,,IA1,1890/1,Text,,8333,"From: Colonial Secretary, Perth [Australia] Date: 9 December 1889 Subject: Forwarding copy of ""An Act for the Restriction of Chinese Immigration"" (R24849355)"
OPEN ACCESS,,ACGO,,599 / [16],1890 - 1891,IA1,R24851597,,IA1,1891/37,Text,,8333,"From: F D Bell, Agent General, London Date: 28 November 1890 Subject: Report of the appeal from the Supreme Court of Victoria to Privy Council, as to power of Colonial Governments to exclude Chinese Immigrants (R24851597)"
OPEN ACCESS,,ACGO,,606 / [2],1891 - 1891,IA1,R24852301,,IA1,1891/1446,Text,,8333,"From: Colonial Secretary, Hong Kong Date: 10 April 1891 Subject: For copies of any laws affecting Chinese in force in New Zealand (R24852301)"
OPEN ACCESS,,ACGO,,608 / [16],1891 - 1891,IA1,R24852518,,IA1,1891/1956,Text,,8333,"From: George Friend, Clerk, House of Representatives, Wellington Date: 10 July 1891 Subject: Forward report of Public Petitions Committee on petition of Gee Sew and others and Ah Kew and others for amendment of ""The Chinese Immigrants Act 1881"" (R24852518)"
OPEN ACCESS,,ACGO,,608 / [85],1891 - 1891,IA1,R24852587,,IA1,1891/2191,Text,,8333,"From: Clerk, House of Representatives, Wellington Date: 30 July 1891 Subject: Forwarding report of Public Petitions Committee on petition of Won Choi Fong and others for amendment of ""The Chinese Immigrants Act 1881"" (R24852587)"
OPEN ACCESS,,ACGO,,624 / [23],1892 - 1892,IA1,R24742433,,IA1,1892/2164,Text,,8333,"From: Kwong Nam On and company, Colombo Date: 15 July 1892 Subject: For a copy of The Chinese Immigrants Act 1888. Forwards PO [Post Office] Order for 1/3 (R24742433)"
OPEN ACCESS,,ACGO,,666 / [64],1894 - 1894,IA1,R24762341,,IA1,1894/2312,Text,,8333,"From: [George Friend], Clerk House of Representatives, Wellington Date: 18 July 1894 Subject: For a return showing the number of Chinese in Colony at census of 1885 & 1891 those who left, died etc. (R24762341)"
OPEN ACCESS,,ACGO,,669 / [68],1894 - 1894,IA1,R24762690,,IA1,1894/3098,Text,,8333,"From: [George Friend] Clerk, House of Representatives, Wellington Date: 18 September 1894 Subject: For a return showing (1) No. of Chinese (2) No. of all other Asiatics (not Chinese) in Colony on 31 March 1894 (3) No. of Chinese and (4) no. of Asiatics, not Chinese - in receipt of Charitable Aid at 31 March 1894  (R24762690)"
OPEN ACCESS,,ACGO,,679 / [81],1895 - 1895,IA1,R24769263,,IA1,1895/797,Text,,8333,"From: W Rutherford, Timaru Date: 30 February 1895 Subject: Forwarding memorial for naturalisation of Loui Tung Kit. As to exemption from provision of The Chinese Immigrants Acts and The Shop and Shop Assistants Act 1894 (R24769263)"
OPEN ACCESS,,ACGO,,701 / [36],1896 - 1896,IA1,R24817459,,IA1,1896/1922,Text,,8333,"From: Secretary to Cabinet, Wellington Date: 21 June 1896 Subject: Pending legislation no naturalisation papers to be issued to Chinese (R24817459)"
OPEN ACCESS,,ACGO,,719 / [28],1897 - 1897,IA1,R24939652,,IA1,1897/929,Text,,8333,"From: Duncan and MacGregor, Dunedin  Date: 13 March 1897 Subject: For certificates of exemption under Section 14 of the Chinese Immigrants Act 1881, in favour of Seu [or Sew] Hoy and Hum Yok (R24939652)"
OPEN ACCESS,,ACGO,,721 / [51],1897 - 1897,IA1,R24939987,,IA1,1897/1382,Text,,8333,"From: Premier, Wellington  Date (received): 22 April 1897 Subject: Mr Shrimski and the Chinese - regarding their naturalisation (R24939987)"
OPEN ACCESS,,ACGO,,723 / [102],1897 - 1897,IA1,R24940335,,IA1,1897/1823,Text,,8333,"From: P Gutike, Melbourne Date: 20 May 1897 Subject: For copy of Acts relating to Chinese (R24940335)"
RESTRICTED ACCESS,,ACGO,,995 / [1],1898 - 1898,IA1,R24776171,,IA1,1898/697,Text,,8333,"From: Under Secretary, Colonial Secretary's Office, Wellington Date (received): 8 March 1898 Subject: List of Chinese and [Asiatries] awaiting naturalisation [This item is part of a larger record. To order this document please use the record number in the Additional Archives Description field below] (R24776171)"
RESTRICTED ACCESS,,ACGO,,995 / [1],1898 - 1898,IA1,R24776170,,IA1,1898/3831,Text,,8333,"From: Brandon and Hislop, Wellington Date: 23 December 1898 Subject:As to ""certificate of character"" in the case of Chinese seeking naturalisation being signed by a Stipendiary Magistrate [This item is part of a larger record. To order this document please use the record number in the Additional Archives Description field below] (R24776170)"
OPEN ACCESS,,ACGO,,773 / [25],1899 - 1899,IA1,R24925881,,IA1,1899/3007,Text,,8333,"From: E O S Scholefield [Acting] Librarian Legislative Council, Victoria British Columbia Date: 1 August 1899 Subject: Relative to his application for information as to restricting Chinese immigration (R24925881)"
OPEN ACCESS,,ACGO,,774 / [7],1895 - 1899,IA1,R24925944,,IA1,1899/3157,Text,,8333,"From: J A Tole The Crown Prosecutor, Auckland Date: 9 September 1899 Subject: Will require an officer from the Colonial Secretary's department to give evidence in regarding Customs versus Unh Gin Lum for attempting to evade payment of poll tax (R24925944)"
OPEN ACCESS,,ACGO,,782 / [19],1899 - 1899,IA1,R24926696,,IA1,1899/4565,Text,,8333,"From: Capt H Johnson, Auckland Date: 6 November 1899 Subject: For permission to dispose of Japanese and Chinese Curios, a hammerless gun etc by Art Union (R24926696)"
RESTRICTED ACCESS,,ACGO,,995 / [1],1900 - 1900,IA1,R24776169,,IA1,1900/160,Text,,8333,"From: Secretary to Cabinet, Wellington Date: 15 January 1900  Subject: As to certificates of S M's in regards naturalisation of Chinese [This item is part of a larger record. To order this document please use the record number in the Additional Archives Description field below] (R24776169)"
RESTRICTED ACCESS,,ACGO,,793 / [5],1900 - 1900,IA1,R24860641,,IA1,1900/1073,Text,,8333,"From: The Chinese Australian Herald, Sydney To: Board of Health, Wellington Date: 16 March 1900 Subject: Offering to execute all Chinese Printing including translation for the New Zealand Government [This item is part of a larger record. To order this document please use the record number in the Additional Archives Description field below] (R24860641)"
OPEN ACCESS,,ACGO,,793 / [5],1900 - 1900,IA1,R24860640,,IA1,1900/1278,Text,,8333,"From: The Chinese Australian Herald, Sydney To: Board of Health, Wellington Date: 24 March 1900 Subject: Forwarding sample of plague, placard printed in Chinese for Health Department and quoting a price for name (R24860640)"
OPEN ACCESS,,ACGO,,798 / [23],1900 - 1900,IA1,R24861066,,IA1,1900/1959,Text,,8333,"From: A Chidgly, Christchurch Date: 1 June 1900 Subject: As to certain Chinese wishing to visit China and returning to New Zealand without having to pay poll tax (R24861066)"
RESTRICTED ACCESS,,ACGO,,863 / [28],1901 - 1901,IA1,R24920239,,IA1,1901/2155,Text,,8333,"From: A Matheson, Mayor of Greymouth, Greymouth Date: [received] 1 July 1901 Subject: Protesting in the matter of the storage in the Borough of the bodies of the dead Chinese [This item is part of a larger record. To order this document please use the record number in Additional Archives Description Field] (R24920239)"
RESTRICTED ACCESS,,ACGO,,863 / [28],1901 - 1901,IA1,R24920238,,IA1,1901/2187,Text,,8333,"From: Michael Fraher and others, Greymouth Date: 9 July 1901 Subject: Objecting to the disinterment of Chinese [This item is part of a larger record. To order this document please use the record number in Additional Archives Description Field] (R24920238)"
RESTRICTED ACCESS,,ACGO,,863 / [28],1901 - 1901,IA1,R24920237,,IA1,1901/2258,Text,,8333,"From: Duncan and MacGregor, Dunedin Date: 20 July 1901 Subject: Applying on behalf of Sew Hoy and others for permission to disinter remains of bodies of certain deceased Chinese buried in various cemeteries [This item is part of a larger record. To order this document please use the record number in Additional Archives Description Field] (R24920237)"
OPEN ACCESS,,ACGO,,843 / [29],1902 - 1902,IA1,R24918461,,IA1,1902/597,Text,,8333,"From: H Landery-Owen, Ararua Date: 11 February 1902 Subject: Applying for letters of naturalisation for several Chinese Residents at Rarotonga (R24918461)"
RESTRICTED ACCESS,,ACGO,,863 / [28],1902 - 1902,IA1,R24920234,,IA1,1902/882,Text,,8333,"From: Duncan and Macgregor, Dunedin Date: [received] 24 March 1902 Subject: Applying for permission to disinter remains of bodies of certain deceased Chinese buried in various cemeteries [This item is part of a larger record. To order this document please use the record number in Additional Archives Description Field] (R24920234)"
OPEN ACCESS,,ACGO,,863 / [28],1902 - 1902,IA1,R24920232,,IA1,1902/3610,Text,,8333,"From: Andrew Markison, Mayor, Greymouth Date: 16 September 1902 Subject: Protesting against Chinese methods of disinterment and storage of dead  (R24920232)"
OPEN ACCESS,,ACGO,,863 / [28],1902 - 1902,IA1,R24920232,,IA1,1902/3610,Text,,8333,"From: Andrew Markison, Mayor, Greymouth Date: 16 September 1902 Subject: Protesting against Chinese methods of disinterment and storage of dead  (R24920232)"
RESTRICTED ACCESS,,ACGO,,995 / [1],1903 - 1903,IA1,R24776164,,IA1,1903/3191,Text,,8333,"From: Clerk of the House of Representatives, Wellington Date: 9 October 1903 Subject: Petition of Joe Ting and others regarding certificate of Stipendiary Magistrate required for naturalisation of Chinese with report of Public Petitions Committee referred to Government for Consideration [This item is part of a larger record. To order this document please use the record number in the Additional Archives Description field below] (R24776164)"
OPEN ACCESS,,ACGO,,943 / [37],1905 - 1905,IA1,R24847503,,IA1,1905/957,Text,,8333,"From: Jew Lye, Alexandra Date: 22 February 1905 Subject: Memorial for naturalisation, Chinese (R24847503)"
OPEN ACCESS,,ACGO,,943 / [38],1905 - 1905,IA1,R24847504,,IA1,1905/958,Text,,8333,"From: Sue Hin, Alexandra Date: 28 April 1905 Subject: Memorial for naturalisation (Chinese) (R24847504)"
OPEN ACCESS,,ACGO,,947 / [36],1905 - 1905,IA1,R24847743,,IA1,1905/1367,Text,,8333,"From: T W Beckett, Vice President, Chamber of Commerce, Pretoria, [South Africa] Date: 5 May 1905 Subject: For copies of New Zealand Acts on subject of restriction of immigration of Chinese etc (R24847743)"
OPEN ACCESS,,ACGO,,949 / [50],1905 - 1905,IA1,R24847830,,IA1,1905/1489,Text,,8333,"From: Secretary of State for the Colonies, London Date: 26 January 1905 Subject: In reference to Resolutions of the New Zealand Parliament respecting the introduction of Chinese Labour into the Transvaal (R24847830)"
OPEN ACCESS,,ACGO,,960 / [43],1905 - 1905,IA1,R24848462,,IA1,1905/2551,Text,,8333,"From: Governor, Hong Kong Date: 18 August 1905 Subject: Forwarding particulars of unhappy marriages between women of English race and Chinese observed by Hong Kong Benevolent Society (R24848462)"
OPEN ACCESS,,ACGO,,1110 / [19],1910 - 1910,IA1,R24857994,,IA1,1910/1285,Text,,8333,"From: Reverend Alex Don, Dunedin Date: 10 May 1910 Subject: As to admision into NZ of Chinese students for limited period (Immigration Restriction Act) (R24857994)"
OPEN ACCESS,,ACGO,,1158 / [21],1911 - 1911,IA1,R24821710,,IA1,1911/1632,Text,,8333,"From: Alexander Don, Dunedin Date: 23 June 1911 Subject: Asking what law is in operation with regard to the naturalisation of Chinese as British subjects (R24821710)"
OPEN ACCESS,,ACGO,,1158 / [21],1911 - 1911,IA1,R24821710,,IA1,1911/1632,Text,,8333,"From: Alexander Don, Dunedin Date: 23 June 1911 Subject: Asking what law is in operation with regard to the naturalisation of Chinese as British subjects (R24821710)"
OPEN ACCESS,,ACGO,,1170 / [51],1911 - 1911,IA1,R24822302,,IA1,1911/2635,Text,,8333,"From: M Cameron, Wellington Date: 19 September 1911 Subject: For statement showing number of Chinese on accompanying list who are naturalised in New Zealand (R24822302)"
OPEN ACCESS,,ACGO,,1170 / [51],1911 - 1911,IA1,R24822302,,IA1,1911/2635,Text,,8333,"From: M Cameron, Wellington Date: 19 September 1911 Subject: For statement showing number of Chinese on accompanying list who are naturalised in New Zealand (R24822302)"
OPEN ACCESS,,ACGO,,1172 / [29],1911 - 1911,IA1,R24822394,,IA1,1911/2801,Text,,8333,"From: Lee Choy, [Chinese Merchant], Gisborne Date: 28 September 1911 Subject: Memorial for Naturalisation (R24822394)"
OPEN ACCESS,,ACGO,,1172 / [29],1911 - 1911,IA1,R24822394,,IA1,1911/2801,Text,,8333,"From: Lee Choy, [Chinese Merchant], Gisborne Date: 28 September 1911 Subject: Memorial for Naturalisation (R24822394)"
OPEN ACCESS,,ACGO,,1175 / [42],1911 - 1911,IA1,R24822530,,IA1,1911/3047,Text,,8333,"From: Secretary of Customs, Wellington Date: 2 October 1911 Subject: Suggestion that finger prints of Chinese should be taken on Naturalisation (R24822530)"
OPEN ACCESS,,ACGO,,1175 / [42],1911 - 1911,IA1,R24822530,,IA1,1911/3047,Text,,8333,"From: Secretary of Customs, Wellington Date: 2 October 1911 Subject: Suggestion that finger prints of Chinese should be taken on Naturalisation (R24822530)"
OPEN ACCESS,,ACGO,,1203 / [29],1912 - 1912,IA1,R24800610,,IA1,1912/1484,Text,,8333,"From: Edward Bullock, Colonial Secretary's Office, Hong Kong Date: 20 April 1912 Subject: For copies of acts regarding admission of Chinese into the Dominion (R24800610)"
OPEN ACCESS,,ACGO,,1203 / [29],1912 - 1912,IA1,R24800610,,IA1,1912/1484,Text,,8333,"From: Edward Bullock, Colonial Secretary's Office, Hong Kong Date: 20 April 1912 Subject: For copies of acts regarding admission of Chinese into the Dominion (R24800610)"
OPEN ACCESS,,ACGO,,1204 / [30],1912 - 1912,IA1,R24800664,,IA1,1912/1593,Text,,8333,"From: B Metson, Stratford Date: 27 May 1912 Subject: For information regarding Naturalisation of Chinese (R24800664)"
OPEN ACCESS,,ACGO,,1204 / [30],1912 - 1912,IA1,R24800664,,IA1,1912/1593,Text,,8333,"From: B Metson, Stratford Date: 27 May 1912 Subject: For information regarding Naturalisation of Chinese (R24800664)"
OPEN ACCESS,,ACGO,,1214 / [8],1911 - 1912,IA1,R24801024,,IA1,1912/2318,Text,,8333,"From: Reverend William Hay, Dunedin Date: 2 August 1912 Subject: Naturalisation of Chinese; Memorial for Naturalisation of Chin Wai Pon, 1911 (R24801024)"
OPEN ACCESS,,ACGO,,1214 / [8],1911 - 1912,IA1,R24801024,,IA1,1912/2318,Text,,8333,"From: Reverend William Hay, Dunedin Date: 2 August 1912 Subject: Naturalisation of Chinese; Memorial for Naturalisation of Chin Wai Pon, 1911 (R24801024)"
